Donor	Tissue	Sample_list
L1	Blood	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L1_Blood.txt
L1	Brain	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L1_Brain.txt
L1	Lung	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L1_Lung.txt
L2	Aorta	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_Aorta.txt
L2	Bladder	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_Bladder.txt
L2	Blood	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_Blood.txt
L2	BoneMarrow	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_BoneMarrow.txt
L2	Bone	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_Bone.txt
L2	BrainCortex	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_BrainCortex.txt
L2	BrainStem	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_BrainStem.txt
L2	Colon	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_Colon.txt
L2	Diaphragm	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_Diaphragm.txt
L2	Fat	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_Fat.txt
L2	Heart	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_Heart.txt
L2	Kidney	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_Kidney.txt
L2	Liver	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_Liver.txt
L2	Lung	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_Lung.txt
L2	Muscle	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_Muscle.txt
L2	Skin	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_Skin.txt
L2	SmallIntestine	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_SmallIntestine.txt
L2	Spleen	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_Spleen.txt
L2	Thymus	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_Thymus.txt
L2	Tongue	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_Tongue.txt
L2	Trachea	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L2_Trachea.txt
L3	Abdominal	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L3_Abdominal.txt
L3	Blood	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L3_Blood.txt
L3	BoneMarrow	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L3_BoneMarrow.txt
L3	Heart	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L3_Heart.txt
L3	Kidney	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L3_Kidney.txt
L3	Liver	/oak/stanford/groups/horence/Roozbeh/Sponge_project/runs/10X_runs/Mouse_lemur_10x/input_sample_files/samples_10X_L3_Liver.txt
